Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Louis Varland","TOR",28,76,87.61388900544908,101,114.2,4.736111111111111,4,0.05263158,28,0.36842105,1.6071430316233095,2.9801128525409606,"Louis Varland",27691,686973
"Gabe Speier","SEA",20.2,51,87.45799926757813,102.7,107.7,10.117647058823529,3,0.05882353,17,0.33333333,3.919355744897412,2.996934809578042,"Gabe Speier",17170,642100
"Julian Garcia","CIN",35.2,96,86.40208299954732,102.4,107.9,17.90625,4,0.04166667,33,0.34375,3.0280378521015283,3.0371074133940836,"Julian Garcia",22362,670062
"Bryan Abreu","HOU",30.1,65,89.03650725833954,102,112,17.396825396825395,3,0.04615385,20,0.30769231,1.7802200962158652,3.052386478512113,"Bryan Abreu",16609,650556
"Jordan Romano","COL",20,55,86.64727311567826,101.6,109,19.09090909090909,2,0.03636364,15,0.27272727,3.600000187754641,3.0597526993505655,"Jordan Romano",16122,605447
"Tyler Alexander","TEX",26.1,86,86.14353018367991,102.7,110.2,8.764705882352942,4,0.04651163,26,0.30232558,5.810128006974053,3.08748711998793,"Tyler Alexander",17735,641302
"Will Dion","- - -",33.1,78,88.26315819589715,102,107.8,21.526315789473685,9,0.11538462,30,0.38461538,3.510000450852571,3.087582496496919,"Will Dion",30061,702021
"Jacob Waguespack","DET",32,84,86.74375009536743,102.4,107.7,14.625,4,0.04761905,25,0.29761905,2.531250393687576,3.097390213304192,"Jacob Waguespack",18318,621097
"Enyel De Los Santos","HOU",27.2,84,87.7964293162028,101.2,107,20.988095238095237,4,0.04761905,30,0.35714286,5.530121830196525,3.154330307893369,"Enyel De Los Santos",18403,660853
"Ty Madden","DET",24,68,85.78529492546531,101.8,108.7,20.397058823529413,3,0.04411765,16,0.23529412,3.750000456348117,3.1920524064380795,"Ty Madden",30140,680744
