Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Kyle Hart","SDP",9.132354025835474,4.3676475775734875,2.09090909,0.3970588706884989,0.23,0.11,0.12,0.25842696629213485,1.5000001781565513,0.3384615384615385,0.61349693,128.81139216497454,73.91027308985856,91.51354915954472,5.1617653189504855,3.096061897277832,2.0657034216726533,3.8528956640739436,3.855225706368637,"Kyle Hart",19646,606996
"AJ Blubaugh","HOU",8.405661403024267,3.0566041465542786,2.75,1.5283020732771393,0.23076923,0.08391608,0.14685315,0.2248062015503876,1.160377500080791,0.25555555555555554,0.83815029,80.7566472580643,113.00650906455157,107.96840972226083,3.3113211587671354,4.624363970554971,-1.3130428117878359,4.465073914053084,3.855181860498637,"AJ Blubaugh",31764,805123
"Tyler Wells","- - -",8.560976008018681,2.634146464005748,3.25,0.9878049240021554,0.26,0.08,0.18,0.12087912087912088,0.6951219835570723,0.12903225806451613,0.94936709,31.820120840112004,87.07075903475206,108.7687078915885,1.317073232002874,3.6082570430567276,-2.2911838110538536,4.498206463265166,3.8400095063686375,"Tyler Wells",20000,669330
"Brendon Little","TOR",14.294120679162184,7.544119247335597,1.89473684,0.7941178155090102,0.37113402,0.19587629,0.17525773,0.21794871794871795,1.5882356310180203,0.375,0.84337349,57.76507935778875,85.77058911923386,78.1966412617358,2.3823534465270306,3.581356117866672,-1.1990026713396413,3.2325150735427957,3.825667118095011,"Brendon Little",21574,663893
"Kenley Jansen","DET",10.62295206007681,4.426230025032004,2.4,0.8852460050064008,0.30769231,0.12820513,0.17948718,0.11940298507462686,0.8852460050064008,0.14634146341463414,0.86419753,42.435907853370864,87.04793458748472,109.023316310664,1.7704920100128017,3.637045567003966,-1.8665535569911644,4.5087473170346,3.780305187977345,"Kenley Jansen",3096,445276
"Chase Shugart","PHI",8.46268783949582,3.223881081712693,2.625,1.20895540564226,0.24137931,0.09195402,0.14942529,0.15384615384615385,0.8955225226979704,0.16666666666666666,0.5952381,65.16208270750886,96.48532303411226,105.70778497203986,2.8208959464986068,4.170688924515397,-1.34979297801679,4.44974919101476,3.7742706314308565,"Chase Shugart",21544,663767
"Anthony Nunez","BAL",10.38461664636475,4.9846159902550795,2.08333333,0,0.28409091,0.13636364,0.14772727,0.1232876712328767,0.9692308869940433,0.1875,0.83333333,40.962046450089375,69.57874807809029,96.2204251478898,1.6615386634183598,2.8652926384697266,-1.2037539750513668,3.978704343346563,3.770342715136754,"Anthony Nunez",25796,689296
"Jack Dreyer","LAD",10.173915759152234,4.695653427301031,2.16666667,0.3913044522750859,0.26804124,0.12371134,0.1443299,0.20238095238095238,1.260869901775277,0.2807017543859649,0.76923077,74.98361980754201,72.09964445638457,95.92968021050636,3.1304356182006874,3.096061897277832,0.03437372092285518,4.038589591384848,3.7568606611575746,"Jack Dreyer",30249,676263
"A.J. Minter","- - -",8.415586304757523,2.454546005554278,3.42857143,2.103896576189381,0.22018349,0.06422018,0.1559633,0.2376237623762376,1.2077924789235335,0.2535211267605634,0.93220339,76.25849706073436,126.25378116049906,102.98252337120944,3.1558448642840715,5.199958473467213,-2.044113609183141,4.275756214742035,3.7181858124761735,"A.J. Minter",18655,621345
"Jacob Webb","CHC",8.756758072195327,3.2837842770732477,2.66666667,1.4594596786992213,0.23076923,0.08653846,0.14423077,0.23404255319148937,1.2567569455465517,0.2727272727272727,0.79545455,97.92658017968108,108.15361100191548,91.04817759614083,4.013514116422859,4.474440482715986,-0.4609263662931271,3.833327251753283,3.695988946944622,"Jacob Webb",19274,657097
