Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Tyler Zuber","MIA",27.2,109.14758620689655,99.10285714285715,,,118.08063221884497,108.19687500000002,,,,111.42790352941176,103.31600235294117,109.71135999999997,"Tyler Zuber",20379,676604
"Dylan Dodd","ATL",20.1,,114.94742574257424,104.38357142857141,,107.24285714285713,,,,,111.08744103248779,104.97178015131284,108.84296395193593,"Dylan Dodd",29928,689266
"DL Hall","MIL",28.2,86.02423076923075,101.5531081081081,114.02,,119.6060042735043,106.48148148148151,94.45377049180328,,,102.84113971179872,104.35584248896691,108.75087260137029,"DL Hall",22207,669084
"Wandy Peralta","SDP",26,105.33235294117648,99.14804020100506,,,109.07571428571431,,107.32915492957746,,,103.6393690868268,105.66816675915551,108.61250087846682,"Wandy Peralta",14295,593974
"Trent Harris","SFG",21.1,,87.35210526315791,99.04019801980196,18.400000000000006,105.35020833333334,106.18161290322578,,,,99.40418209126176,106.15414697396996,108.58154494473081,"Trent Harris",33214,805345
"Ryan Rolison","CHC",27.1,96.31292517006803,113.18265486725663,,,120.91230769230768,102.51357142857141,96.26666666666667,,,108.18235416666664,100.38446334670233,108.39262210338683,"Ryan Rolison",22200,669020
"Dylan Lee","ATL",23,113.935033557047,,,,117.25524271844661,,89.27238095238094,,,111.82598249801114,97.23826093874304,108.26365950676214,"Dylan Lee",19996,669276
"Caleb Thielbar","CHC",21,97.00479999999999,,,,116.49418032786888,127.5076595744681,,,,112.27232568600988,102.32731893837159,108.11308591992801,"Caleb Thielbar",10078,573204
"Brent Suter","- - -",33.2,94.00281690140845,92.5745701357466,,,106.85499999999999,,105.08082644628098,,,96.95226036368213,114.2104537987458,108.06424098166465,"Brent Suter",13942,608718
"Grant Wolfram","BAL",23.1,93.06120689655172,107.94064516129032,,,128.7187012987013,117.16868421052634,,,,109.50046573709311,101.85701715737095,107.6742701637985,"Grant Wolfram",21623,664991
"Mason Fluharty","TOR",22.2,,,102.01523809523806,,108.63023999999997,,103.832,,,104.78359281437126,101.95717065868263,107.41838323353292,"Mason Fluharty",31553,689254
"Tyler Schweitzer","CHW",27.1,94.51017964071856,101.43999999999998,,,99.02445267041348,119.92,97.0655,,,97.23724309441336,108.28507149835687,107.39530153654854,"Tyler Schweitzer",31920,805326
"Erik Miller","- - -",22,102.508,121.36420091324199,,,120.00452215189874,,,,,120.34352864405494,89.23500713255937,107.32098634190757,"Erik Miller",26252,669062
"Tim Hill","NYY",22,112.14461538461539,132.49929824561406,,,110.5072,,,,,130.0045667781494,81.39439973244147,106.93629841694539,"Tim Hill",16814,657612
"Chase Silseth","- - -",23,95.7460824742268,87.82129032258064,,103.67962160031534,105.94319999999998,,,,,99.37664425427873,106.11739608801956,106.58911980440097,"Chase Silseth",30074,681217
"Justin Bruihl","STL",29,119.63142857142859,104.77587939698493,,,102.49012765957448,,87.99470588235295,,,103.3365379672996,107.26069125678441,106.42284892548565,"Justin Bruihl",23779,677865
"Pierce Johnson","CIN",20,73.78133333333334,,170.24,,,114.52124444444443,,,,100.75365994236313,108.30115273775216,106.07158501440924,"Pierce Johnson",13435,572955
"Alec Gamboa","BOS",23.1,103.84806201550386,119.6831884057971,,,113.92854368932036,122.67142857142858,141.68,,,112.05297651536247,95.61157606980413,106.00162703053931,"Alec Gamboa",26227,687941
"Steven Matz","TBR",24,,101.25463414634144,,,125.62800000000001,100.33357142857143,114.38721649484536,,,105.29205168305033,102.77327896931783,105.93814231456656,"Steven Matz",13361,571927
"José Alvarado","PHI",24.2,112.25166666666667,107.45094488188975,102.59404958677685,,,155.3725,,,,107.84859857837638,92.4297342312009,105.8916617034543,"Jose Alvarado",17780,621237
"Chris Roycroft","- - -",25,81.77855421686746,101.4782062780269,102.42057142857144,,120.11238095238096,,83.715,,,98.36389027431422,109.40857855361595,105.71381546134663,"Chris Roycroft",31261,688297
"Kevin Ginkel","ARI",27.2,83.69566371681415,101.74838709677418,,,108.53452631578948,,,,,95.50497762863533,111.1187248322148,105.5880835197614,"Kevin Ginkel",19876,656464
"Casey Legumina","TBR",24,122.2851891891892,105.45558139534886,,,100.70184615384616,,78.98117647058825,,,108.98444868166091,98.98112352916586,105.57887724711806,"Casey Legumina",25921,668984
"Cade Gibson","MIA",24.1,87.82148148148146,101.31760869565217,,,113.03219512195122,110.75685393258425,91.10697674418604,,,105.96822315930389,98.28180207496654,105.54767617135204,"Cade Gibson",31815,806188
"Robby Ahlstrom","TEX",23,108.48999999999998,102.21795454545455,,,107.25407407407407,136.28,105.79723076923078,,,106.38526315789474,100.47525236167343,105.45264507422402,"Robby Ahlstrom",30167,695239
"José Fermin","LAA",24.2,100.16645161290322,103.31834482758619,,,104.3593006993007,,68.2175,,,103.19818085311717,100.97516020073343,105.12417583478091,"Jose Fermin",33908,820862
"David Bednar","NYY",28.1,103.8116384180791,,,105.9100469483568,,97.23499999999999,,,,104.00823266219238,101.7853422818792,105.01773601789709,"David Bednar",19569,670280
"Andrew Morris","MIN",25.2,97.36580645161293,99.50625000000001,122.03774647887325,,,,99.29529411764706,,,105.5312830123998,101.9608486808572,104.96727485411772,"Andrew Morris",31891,702193
"Luis Mey","CIN",24,87.92956521739131,106.74752,,,110.85857142857148,,,,,107.31631257631255,99.064457024457,104.82385614385616,"Luis Mey",25620,682825
"Jacob Webb","CHC",24.2,98.25814285714287,,,,96.88146341463414,79.10263157894738,93.36367816091953,,,94.09531806615776,109.82295165394402,104.68727735368955,"Jacob Webb",19274,657097
"Antonio Senzatela","- - -",22.1,101.96437499999999,106.81613333333334,106.7755828220859,,,121.34454545454545,90.16666666666667,,,106.71522388059702,100.38160862354893,104.50891376451078,"Antonio Senzatela",15488,622608
"Seranthony Domínguez","- - -",28.1,101.5896103896104,102.91038110574341,,114.11120000000001,126.36683333333332,,,,,109.71398581560285,96.68782695035462,104.39964539007093,"Seranthony Dominguez",19249,622554
"Kenley Jansen","DET",20.1,,129.1094117647059,102.19904411764705,,102.42176470588234,,,,,103.62846611942699,101.20296153227103,104.31471752776439,"Kenley Jansen",3096,445276
"Bryan Hudson","CHW",21.2,110.10117647058821,,,,99.86423076923077,,,,,106.63070581592322,102.41073404856013,104.24905420666293,"Bryan Hudson",19924,663542
"Craig Yoho","- - -",25,109.32857142857144,95.2090909090909,95.45614035087719,,137.64,,97.80227450980391,,,98.9950740740741,102.98844495180113,104.22826927955353,"Craig Yoho",33248,684974
"Josh Ekness","MIA",22.2,111.88336206896551,105.8527659574468,,,129.51212121212123,128.14545454545453,,,,116.90971969696969,89.9830330906149,104.18971104736688,"Josh Ekness",33785,694795
"Brayan Bello","BOS",34,73.56733333333334,104.84379487179487,92.39956521739128,,109.06835820895522,,78.67779411764707,,,93.35909625668451,110.65043368983957,104.04435989304814,"Brayan Bello",23920,678394
"Adrian Houser","SFG",22,86.05333333333334,94.6952380952381,,,92.92222222222222,77.0925,95.68307692307692,,,91.64779029499284,109.43501098901099,103.92341277911854,"Adrian Houser",12718,605288
"Tyler Wells","- - -",27.1,92.18435643564358,,95.72823529411765,,98.60352941176468,96.41125,96.31951219512194,,,95.34188087013736,108.89202023192698,103.8207068837898,"Tyler Wells",20000,669330
"Steven Cruz","KCR",27.1,107.80959641255602,,104.60255319148935,,136.38244897959186,,,,,110.31118250170881,96.96185235816814,103.62081339712918,"Steven Cruz",23165,674444
"Hogan Harris","ATH",27.1,112.92851963746224,,93.94,,121.296,98.00999999999999,105.535,,,108.21451106143066,99.71379554230744,103.50127913646321,"Hogan Harris",21520,663687
"Jason Foley","SFG",24,97.2397142857143,100.97551724137932,,91.13366666666666,101.32185185185186,,,,,98.959902676399,103.36817518248175,103.49002433090024,"Jason Foley",19531,671345
"Rico Garcia","BAL",25.2,93.872,,,,93.78,116.88312056737591,82.88990654205605,,,98.61680912025827,102.64303551251011,103.33858272800646,"Rico Garcia",20023,670329
"Luke Weaver","- - -",20,100.59254437869822,70.16,93.40347826086955,,,,94.89333333333335,,,97.68156603773585,103.74453459119498,102.86936163522012,"Luke Weaver",16918,596133
