Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Hoby Milner","CHC",0.3240077495574951,-2.104602336883545,2.42861008644104,1.7990000247955322,0.1809418946504593,0.9370610117912292,0.8467119932174683,1.0595736503601074,1.1941806077957153,31,0.38769254088401794,-0.04192236639117308,8,3,"Hoby Milner",13346,571948
"Mason Fluharty","TOR",0.31979021430015564,-2.870150089263916,3.1899402141571045,-3.6559996604919434,-0.38142192363739014,0.9773604273796082,0.8918916583061218,1.1032137870788574,1.2580509185791016,51,-0.06604696065187454,0.393244794062771,11,14,"Mason Fluharty",31553,689254
"Jack Dreyer","LAD",0.31756025552749634,-2.630929946899414,2.9484901428222656,9.566999435424805,0.9402475953102112,0.8519229888916016,0.7993627190589905,0.9951786994934082,0.9308705925941467,34,1.1646754741668701,-0.7919184765647047,11,9,"Jack Dreyer",30249,676263
"Erik Sabrowski","CLE",0.2757960259914398,-3.7674560546875,4.043251991271973,0.7229996919631958,0.06189226359128952,1.7211874723434448,1.27329421043396,1.6149238348007202,1.5154051780700684,39,0.18242256343364716,-0.022186662102146176,15,10,"Erik Sabrowski",24978,681870
"Brennan Bernardino","COL",0.2164621204137802,-4.297614097595215,4.514076232910156,12.90999984741211,1.185725212097168,1.3799365758895874,1.047363519668579,1.2800301313400269,1.4847956895828247,46,1.0300235748291016,-0.873159756450901,12,9,"Brennan Bernardino",16835,657514
"Bryan King","HOU",0.14006613194942474,-5.950197696685791,6.090263843536377,0.10399999469518661,0.001901683397591114,1.798178791999817,1.622545599937439,1.7644435167312622,1.7414363622665405,33,0.20695577561855316,-0.12906244678351983,19,9,"Bryan King",25890,687911
"David Peterson","NYM",0.023868119344115257,-1.6701198816299438,1.6939879655838013,-3.1810004711151123,-0.33955147862434387,0.6856071949005127,0.627739429473877,0.6185250282287598,1.2031000852584839,6,-0.24639153480529785,0.2812046457551891,2,3,"David Peterson",20302,656849
"DL Hall","MIL",0.016636256128549576,-1.445199966430664,1.4618362188339233,5.028000354766846,0.5327019691467285,0.5913827419281006,0.5644245743751526,0.7980615496635437,0.8192899823188782,20,0.08683523535728455,-0.058704120008348334,4,6,"DL Hall",22207,669084
"Tim Hill","NYY",-0.029110027477145195,-3.6705379486083984,3.641427993774414,2.4779999256134033,0.2617780864238739,1.1532292366027832,0.9849818348884583,1.2476845979690552,1.1458532810211182,45,-0.06203605234622955,0.036793865837935355,17,11,"Tim Hill",16814,657612
"Ryan Rolison","CHC",-0.03715195879340172,-3.025250196456909,2.98809814453125,8.848999977111816,0.9023672938346863,0.9934400320053101,0.8491961359977722,1.104738473892212,1.093584656715393,26,0.9549703598022461,-0.9923676435803204,8,6,"Ryan Rolison",22200,669020
"Grant Wolfram","BAL",-0.03824593126773834,-3.027708053588867,2.98946213722229,-3.8580000400543213,-0.4450811743736267,1.2311184406280518,1.0417163372039795,1.159972071647644,1.383589506149292,38,-0.1727873682975769,0.1417213635935719,11,10,"Grant Wolfram",21623,664991
"José Alvarado","PHI",-0.07878574728965759,-4.646467208862305,4.567681789398193,-8.769999504089355,-0.8653261065483093,1.2927021980285645,1.0316228866577148,1.139639973640442,1.3849999904632568,46,-0.15520821511745453,0.09426165881871086,14,8,"Jose Alvarado",17780,621237
"Caleb Thielbar","CHC",-0.11941400170326233,-3.9053900241851807,3.7859761714935303,-0.2279999852180481,-0.047950614243745804,1.3776565790176392,1.1533875465393066,1.3332428932189941,1.364400029182434,35,-0.21343781054019928,0.1267587328063184,12,10,"Caleb Thielbar",10078,573204
"Sean Manaea","NYM",-0.1293998807668686,-1.8730242252349854,1.743624210357666,-8.522000312805176,-0.8534078598022461,0.5822120308876038,0.6310067176818848,0.9326000213623047,1.2431750297546387,8,-0.3554425835609436,0.13318698954720656,4,3,"Sean Manaea",15873,640455
"Aaron Ashby","MIL",-0.14171354472637177,-6.833835601806641,6.692121982574463,1.2499994039535522,0.14726056158542633,1.384361743927002,1.1877648830413818,1.3257735967636108,1.4740166664123535,48,0.25162848830223083,-0.3539959116639706,20,10,"Aaron Ashby",23550,676879
"Enmanuel De Jesus","DET",-0.1725139319896698,-1.1631639003753662,0.990649938583374,1.6749999523162842,0.15981996059417725,0.3545204997062683,0.4147989749908447,0.414900004863739,0.6262000203132629,11,0.22064253687858582,-0.7072545441746467,2,3,"Enmanuel De Jesus",18554,646241
