Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Cionel Pérez","- - -",4,3,5.2184881059205654,34,0,0,0,0,0,5,0,39.2,173,42,24,23,7,16,0,0,4,0,38,"Cionel Perez",19614,672335
"José A. Ferrer","SEA",4,2,3.278571875241399,52,0,0,0,0,3,10,3,46.2,205,50,18,17,5,13,1,5,4,0,38,"Jose A. Ferrer",24017,678606
"Tyler Holton","DET",1,4,2.8609278750711087,46,0,0,0,0,1,10,1,50.1,209,51,21,16,6,11,0,3,2,0,38,"Tyler Holton",26231,663947
"Dylan Dodd","ATL",3,1,2.0186919486307784,32,0,0,0,0,1,9,0,35.2,135,18,8,8,3,11,1,1,1,0,38,"Dylan Dodd",29928,689266
"Enmanuel De Jesus","DET",2,0,3.58407140142245,26,0,0,0,0,1,0,0,37.2,156,31,18,15,2,13,0,1,0,0,37,"Enmanuel De Jesus",18554,646241
"Bryan King","HOU",2,3,3.537931686020471,46,0,0,0,0,6,12,4,48.1,211,48,21,19,6,17,1,5,2,0,37,"Bryan King",25890,687911
"Brandyn Garcia","ARI",0,1,2.1818186862410776,39,0,0,0,0,3,13,0,33,124,20,9,8,1,7,1,3,1,0,36,"Brandyn Garcia",33568,805299
"Wandy Peralta","SDP",2,2,3.6964293268263666,48,0,0,0,0,0,4,1,56,238,59,23,23,5,21,1,2,1,0,35,"Wandy Peralta",14295,593974
"Brennan Bernardino","COL",3,2,2.1366912338726767,53,0,0,0,0,1,8,4,46.1,190,38,16,11,2,12,1,3,0,0,35,"Brennan Bernardino",16835,657514
"Daniel Lynch IV","KCR",4,2,1.9565220636321463,46,0,0,0,0,1,13,2,46,183,31,13,10,2,12,0,2,1,0,35,"Daniel Lynch IV",21537,663738
"Taylor Rogers","MIN",6,3,5.090165685179118,47,0,0,0,0,2,8,1,40.2,188,48,23,23,3,20,3,2,0,0,34,"Taylor Rogers",13449,573124
"Mitchell Parker","WSN",3,3,6.579832354623,22,0,0,0,0,1,7,5,39.2,178,46,31,29,9,13,0,2,3,0,34,"Mitchell Parker",27636,680730
"Anthony Banda","MIN",2,0,4.456312330046841,39,0,0,0,0,2,10,2,34.1,156,31,19,17,3,15,1,8,4,0,33,"Anthony Banda",14706,607455
"Kyle Hart","SDP",0,2,5.01769996199143,26,0,0,0,0,0,5,1,37.2,155,30,23,21,4,12,0,3,2,1,33,"Kyle Hart",19646,606996
"John King","MIA",6,1,2.7794123104287927,46,0,0,0,0,1,4,0,45.1,173,26,16,14,5,13,1,4,0,0,31,"John King",22051,667463
"DL Hall","MIL",0,0,2.842105833777545,26,0,0,0,0,0,4,1,31.2,132,19,10,10,2,24,0,1,5,0,31,"DL Hall",22207,669084
"Tim Herrin","CLE",1,4,3.823010269202611,47,0,0,0,0,0,14,1,37.2,166,32,17,16,4,23,3,4,3,0,31,"Tim Herrin",25139,682120
"Matt Strahm","KCR",3,4,7.317758313786571,41,0,0,0,0,0,13,4,35.2,161,39,29,29,12,14,1,2,4,1,30,"Matt Strahm",13799,621381
"Ryan Yarbrough","NYY",2,1,3.9193553210049688,27,0,0,0,0,2,0,0,41.1,180,36,25,18,3,18,1,4,0,1,29,"Ryan Yarbrough",16502,642232
"Kody Funderburk","MIN",3,1,3.0000006357830125,37,0,0,0,0,1,7,0,36,151,23,12,12,2,20,0,2,0,0,29,"Kody Funderburk",24993,681892
"Gabe Speier","SEA",2,2,2.100000534057753,36,0,0,0,0,1,14,1,30,124,21,9,7,3,11,1,4,0,0,27,"Gabe Speier",17170,642100
"Cade Gibson","MIA",2,0,5.516130050437075,27,0,0,0,0,0,4,0,31,142,33,22,19,2,14,1,5,0,1,26,"Cade Gibson",31815,806188
"David Peterson","NYM",2,0,4.108695992900682,8,0,0,0,0,1,0,0,30.2,135,30,17,14,4,9,0,2,2,0,25,"David Peterson",20302,656849
"Tim Hill","NYY",3,2,4.534352597473336,52,0,0,0,0,1,9,3,43.2,181,41,24,22,9,10,2,5,1,0,20,"Tim Hill",16814,657612
"Hoby Milner","CHC",1,0,3.532711287941988,38,0,0,0,0,1,6,1,35.2,149,34,14,14,4,9,1,3,0,0,18,"Hoby Milner",13346,571948
