player_id,player_name,player_team,bip,ground_ball_percent,line_drive_percent,fly_ball_percent,pop_up_percent,pull_percent,straight_percent,oppo_percent,pulled_air_percent
689822,Matt Rudick,BNG,133,0.2932,0.2406,0.3308,0.1353,0.4436,0.3985,0.1579,0.2331
823153,Matt King,ALT,154,0.5974,0.1883,0.1104,0.0974,0.3247,0.3831,0.2857,0.0714
687521,Eric Brown Jr.,BLX,126,0.4841,0.1746,0.2222,0.119,0.381,0.3651,0.254,0.1349
695596,Nick Raposo,ARK,128,0.3906,0.1953,0.2656,0.1484,0.3516,0.4531,0.1953,0.1797
806464,Connor Charping,ARK,138,0.4275,0.2971,0.2246,0.0507,0.3551,0.3696,0.2754,0.1304
702708,Emaarion Boyd,PNS,138,0.5797,0.1522,0.1884,0.0797,0.3696,0.442,0.1884,0.0725
691398,Yerlin Confidan,CHA,141,0.5603,0.2128,0.1844,0.0426,0.3404,0.4397,0.2199,0.0567
800643,Ty Hanchey,RIC,123,0.561,0.122,0.2764,0.0407,0.4065,0.3415,0.252,0.0813
657675,Rudy Martin Jr.,NWA,122,0.5902,0.1885,0.1639,0.0574,0.3525,0.4016,0.2459,0.0902
815873,Sean Keys,NH,121,0.3636,0.2231,0.2727,0.1405,0.5289,0.2727,0.1983,0.2727
692150,Émilien Pitre,BNG/MTG,153,0.549,0.2026,0.2353,0.0131,0.3268,0.4248,0.2484,0.0784
682692,Miguel Palma,SOM,138,0.4348,0.2029,0.2681,0.0942,0.3913,0.4348,0.1739,0.1594
683169,Sean McLain,TUL,120,0.3333,0.275,0.2667,0.125,0.375,0.3833,0.2417,0.2333
696160,Jake Rucker,WCH,134,0.3582,0.2612,0.3433,0.0373,0.4403,0.4552,0.097,0.2388
702270,Malcolm Moore,FRI,130,0.3077,0.2231,0.3923,0.0769,0.3077,0.4308,0.2615,0.1692
687553,Kamren James,MTG,129,0.4574,0.2791,0.1938,0.0698,0.3566,0.3798,0.2636,0.1628
683149,Julian Brock,FRI,111,0.4414,0.2342,0.2613,0.0631,0.2973,0.4324,0.2703,0.1261
828599,Lucas Spence,CC,132,0.447,0.2273,0.2652,0.0606,0.3939,0.4773,0.1288,0.0985
808129,Juan Flores,RCT,130,0.4077,0.2692,0.2308,0.0923,0.2846,0.5308,0.1846,0.1231
814522,Caden Kendle,WCH,134,0.3209,0.2985,0.2761,0.1045,0.403,0.3507,0.2463,0.291
830239,Aaron Walton,AKR,116,0.3793,0.2586,0.2586,0.1034,0.4828,0.3276,0.1897,0.1983
800387,Fernando Peguero,CHE,124,0.5645,0.1613,0.2097,0.0645,0.3226,0.3871,0.2903,0.0726
702331,Noah Mendlinger,SPR,145,0.4483,0.2828,0.2345,0.0345,0.3379,0.4552,0.2069,0.1172
806053,Dean Curley,AKR,106,0.3491,0.3113,0.2642,0.0755,0.2925,0.4057,0.3019,0.1226
690957,Jace Bohrofen,NH,103,0.3981,0.1553,0.3301,0.1165,0.5049,0.301,0.1942,0.1748
687071,Shane Sasaki,CHA,115,0.4783,0.2609,0.2174,0.0435,0.2609,0.4957,0.2435,0.0522
683353,Connor Caskenette,PNS,130,0.4538,0.2077,0.2615,0.0769,0.4308,0.3462,0.2231,0.1692
827636,Trent Youngblood,AMA,133,0.4737,0.3008,0.188,0.0376,0.2782,0.4361,0.2782,0.0752
682633,Eduardo Garcia,BLX,123,0.4634,0.187,0.2358,0.1138,0.3577,0.4959,0.1463,0.1301
702278,Nolan Schubart,AKR,95,0.3053,0.1579,0.4737,0.0632,0.4947,0.2947,0.2105,0.2421
809092,Murf Gray,ALT,115,0.3652,0.287,0.2522,0.0957,0.3913,0.4435,0.1652,0.1913
679754,Alberto Rodriguez,NWA,116,0.6207,0.1724,0.1466,0.0603,0.4138,0.3362,0.25,0.1207
806368,Maddux Houghton,WCH,105,0.3714,0.2286,0.2857,0.1143,0.4,0.4571,0.1429,0.2095
672569,Gustavo Campero,RCT,142,0.4296,0.2042,0.3028,0.0634,0.4225,0.4225,0.1549,0.169
683233,Douglas Hodo III,CHE,118,0.4068,0.2034,0.2797,0.1102,0.4153,0.322,0.2627,0.1695
695078,Jean Walters,AMA,128,0.5469,0.1953,0.1875,0.0703,0.3359,0.375,0.2891,0.0625
815133,Cameron Sisneros,CC/KNX,115,0.487,0.1826,0.2435,0.087,0.4522,0.3217,0.2261,0.1652
677601,Keyber Rodriguez,FRI,131,0.4275,0.2748,0.2366,0.0611,0.2901,0.4733,0.2366,0.1679
694218,Yeison Morrobel,FRI,143,0.5385,0.2378,0.1818,0.042,0.3706,0.3916,0.2378,0.1119
695048,Garret Guillemette,CC,112,0.4018,0.25,0.25,0.0982,0.4643,0.3482,0.1875,0.2143
691191,Jose Salas,WCH,106,0.4717,0.2075,0.2264,0.0943,0.3679,0.3585,0.2736,0.1132
804114,Luke Pelzer,NWA,128,0.4062,0.3516,0.1875,0.0547,0.3281,0.3438,0.3281,0.1406
815299,Will Verdung,COL,125,0.464,0.264,0.232,0.04,0.264,0.424,0.312,0.112
825761,Ryan Cesarini,AKR,138,0.3913,0.2174,0.2899,0.1014,0.5072,0.3696,0.1232,0.2101
822966,John Taylor,FRI,105,0.4952,0.3048,0.1619,0.0381,0.3238,0.3619,0.3143,0.1238
687766,Miguel Useche,KNX,126,0.4048,0.254,0.2778,0.0635,0.3254,0.4286,0.246,0.127
687625,Kai Murphy,SA,129,0.5039,0.2558,0.1783,0.062,0.4341,0.3256,0.2403,0.1163
813841,Jonah Cox,RIC,135,0.4889,0.1926,0.2741,0.0444,0.237,0.4074,0.3556,0.037
691442,Wilfred Veras,BIR,108,0.537,0.213,0.2407,0.0093,0.3056,0.4167,0.2778,0.1204
813400,Jack Winnay,POR,121,0.3636,0.2149,0.3388,0.0826,0.3554,0.4628,0.1818,0.157
700939,Bennett Lee,ERI,103,0.534,0.1553,0.233,0.0777,0.3107,0.4466,0.2427,0.0874
682239,Luke Ritter,REA,99,0.4242,0.2424,0.2828,0.0505,0.3434,0.4545,0.202,0.1414
805207,Caden Bodine,MTG,144,0.4167,0.2639,0.2847,0.0347,0.2778,0.5208,0.2014,0.1319
803385,Jay Harry,NH,129,0.4186,0.2558,0.2403,0.0853,0.3798,0.4264,0.1938,0.1473
809844,Kien Vu,CHA,102,0.4314,0.1961,0.2549,0.1176,0.4412,0.3627,0.1961,0.1471
691437,Adrian Pinto,NH,121,0.5207,0.2066,0.1983,0.0744,0.4132,0.3471,0.2397,0.124
687567,Jorel Ortega,WCH,95,0.3579,0.2632,0.2947,0.0842,0.3263,0.4737,0.2,0.1368
807751,Ethan O'Donnell,PNS,110,0.4727,0.2727,0.2364,0.0182,0.4273,0.3636,0.2091,0.1182
692222,Jose Izarra,TUL,117,0.4359,0.1795,0.265,0.1197,0.3675,0.4615,0.1709,0.1538
691616,Hedbert Perez,NH,99,0.404,0.202,0.2828,0.1111,0.4444,0.4141,0.1414,0.202
814154,Scott Bandura,RIC,116,0.4828,0.2672,0.2414,0.0086,0.319,0.4224,0.2586,0.069
691621,Jheremy Vargas,BLX,119,0.4706,0.2437,0.2437,0.042,0.2437,0.3866,0.3697,0.084
827637,Dalton McIntyre,COL,100,0.59,0.22,0.15,0.04,0.47,0.39,0.14,0.11
687616,Jimmy Obertop,HFD,72,0.4722,0.2222,0.2639,0.0278,0.3611,0.4028,0.2361,0.0972
806964,Sebastian Walcott,FRI,113,0.3186,0.3363,0.1858,0.1593,0.3805,0.4071,0.2124,0.2124
690985,Colby Halter,MID,95,0.4632,0.2105,0.3158,0.0105,0.3684,0.3895,0.2421,0.1263
695780,Jake Fox,AKR,111,0.4054,0.3514,0.2072,0.036,0.3964,0.3874,0.2162,0.1532
806252,Ralphy Velazquez,AKR,114,0.3947,0.2895,0.2456,0.0702,0.3158,0.3596,0.3246,0.1316
672018,Dasan Brown,BLX,88,0.4205,0.2159,0.2955,0.0682,0.25,0.4545,0.2955,0.0795
676205,Tyler Hardman,SOM,105,0.3143,0.2571,0.3238,0.1048,0.4286,0.3238,0.2476,0.2095
808864,Raider Tello,REA,104,0.5,0.2981,0.1731,0.0288,0.25,0.3654,0.3846,0.0673
681371,Dom Keegan,CHE,97,0.3814,0.2577,0.3196,0.0412,0.3608,0.4124,0.2268,0.1649
