Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Kevin McGonigle","DET",510,365,87.86685038527398,102.1,109.5,20.545205479452054,25,0.06849315,132,0.36164384,0.287037037,0.2631925684670008,0.430555555,0.4257192589567322,0.3657001397464505,0.3531516968734621,"Kevin McGonigle",33572,805808
"Michael Harris II","ATL",444,341,90.87566649666172,108.5,114.9,10.82492581602374,39,0.1143695,168,0.49266862,0.291469194,0.29466033718081946,0.495260663,0.49520663807341153,0.35016438660320937,0.3527095613845584,"Michael Harris II",25931,671739
"Wilyer Abreu","BOS",492,339,90.09851400222551,105.7,113.1,19.008902077151337,44,0.12979351,147,0.43362832,0.256351039,0.25991898995858653,0.461893764,0.48719444981327764,0.3410187159230822,0.3522358647099248,"Wilyer Abreu",23772,677800
"Julio Rodríguez","SEA",462,328,89.92048929663609,107.8,114.6,13.681957186544343,29,0.08841463,141,0.42987805,0.260143198,0.27902152321555396,0.427207637,0.47275360691490353,0.32692945910536725,0.35198815040339054,"Julio Rodriguez",23697,677594
"Bryan Reynolds","PIT",519,312,90.71185772235577,106.4,113.7,7.641025641025641,35,0.11217949,146,0.46794872,0.267734553,0.24764759753334167,0.441647597,0.43296339091774527,0.3620707023051358,0.3518880208333333,"Bryan Reynolds",19326,668804
"Cody Bellinger","NYY",434,309,89.10261565563725,103,109.3,17.712418300653596,19,0.06148867,115,0.37216828,0.259358288,0.2774339660480016,0.419786096,0.4185525734790895,0.3393771835186514,0.3501646391476943,"Cody Bellinger",15998,641355
"Sam Antonacci","CHW",382,278,87.59596783424908,102.4,108.4,10.523809523809524,17,0.06115108,100,0.35971223,0.274096385,0.28400606097597064,0.403614457,0.41567577015269885,0.342714960153625,0.3499438136578871,"Sam Antonacci",35101,803011
"Garrett Mitchell","MIL",392,217,92.76991102430556,109,115.5,2.162037037037037,29,0.13364055,110,0.50691244,0.253687315,0.2561150384863569,0.412979351,0.44403539786999907,0.33789855822538717,0.34982855381109773,"Garrett Mitchell",27555,669003
"JJ Wetherholt","STL",502,356,89.59401709401709,102.4,108.7,11.934472934472934,26,0.07303371,155,0.43539326,0.245939675,0.2554449577242206,0.382830626,0.43196252469994145,0.32813396072387696,0.34947139986099734,"JJ Wetherholt",34985,802139
"Chase DeLauter","CLE",424,318,91.12531521954114,105.8,111.2,12.291139240506329,20,0.06289308,145,0.45597484,0.279255319,0.27764246540684856,0.436170212,0.4316720449796287,0.3471105545759201,0.34810772850399924,"Chase DeLauter",32127,800050
"Brice Turang","MIL",503,316,90.63843648208469,104.2,109.8,8.882736156351791,25,0.07911392,135,0.42721519,0.272517321,0.2598116320233012,0.459584295,0.44241162677143897,0.3592068927903329,0.34786043302524405,"Brice Turang",22186,668930
"Sal Stewart","CIN",502,337,90.47607122315951,105.6,111.4,13.33435582822086,46,0.13649852,134,0.39762611,0.254545454,0.24894627009596781,0.477272727,0.4724298994117808,0.3469140421913331,0.3477903766396605,"Sal Stewart",31505,701398
"Yandy Díaz","TBR",490,365,90.8024861878453,106.5,113.7,6.2809917355371905,25,0.06849315,173,0.4739726,0.292626728,0.27835498995681374,0.447004608,0.43448955774860426,0.3543529927485274,0.3476389018331821,"Yandy Diaz",16578,650490
"CJ Abrams","WSN",493,327,89.76472632285277,104.4,110.8,18.131901840490798,35,0.10703364,139,0.42507645,0.288018433,0.26046650734564447,0.548387096,0.46019397762025477,0.3872884643053571,0.34753511389907527,"CJ Abrams",25768,682928
"José Ramírez","CLE",370,275,89.15457589285714,104,110.8,19.622710622710624,15,0.05454545,111,0.40363636,0.233438485,0.2792816403545911,0.384858044,0.4273196353188044,0.31328135564182347,0.3472645725239677,"Jose Ramirez",13510,608070
"Josh Jung","TEX",396,286,90.55244755244755,103.5,110.1,11.821678321678322,18,0.06293706,138,0.48251748,0.29378531,0.2859830479163908,0.440677966,0.4319745942024188,0.3524070848720242,0.3467331317940144,"Josh Jung",26299,673962
"Ketel Marte","ARI",496,378,90.15254272788204,107.6,116.9,13.107238605898123,37,0.0978836,162,0.42857143,0.244444444,0.27678299803595147,0.433333333,0.4623803260342387,0.3193499316550172,0.3463072484853316,"Ketel Marte",13613,606466
"Max Muncy","LAD",405,251,90.37570032370517,106,110.1,16.49402390438247,34,0.13545817,114,0.45418327,0.24858757,0.23772033863821945,0.485875706,0.46760451322221486,0.35810921678495644,0.3459291220897466,"Max Muncy",13301,571970
"Carson Benge","NYM",461,322,89.37116109913794,104.8,109.8,10.821316614420063,25,0.07763975,132,0.40993789,0.27014218,0.2835489241206276,0.412322274,0.44409307147551835,0.32709515792945976,0.34332435308064957,"Carson Benge",35177,701807
"Corbin Carroll","ARI",495,321,91.63848703667192,106,112.9,14.233438485804417,38,0.11838006,157,0.48909657,0.242424242,0.2486894136316636,0.468531468,0.4406988166360294,0.3477923067297945,0.34307056263180596,"Corbin Carroll",25878,682998
"Spencer Steer","CIN",384,257,89.6504150390625,102.6,107.2,16.870833333333334,30,0.11673152,100,0.38910506,0.238235294,0.24554154616135818,0.420588235,0.4518276742788462,0.3251994135485617,0.3415273376133131,"Spencer Steer",26323,668715
"Taylor Ward","- - -",524,323,88.85607491846768,102.4,109.5,14.965732087227414,17,0.05263158,123,0.38080495,0.242990654,0.24614319387176228,0.338785046,0.3690915331594261,0.3289482620940811,0.3395743516775278,"Taylor Ward",17548,621493
"Kyle Karros","COL",385,253,89.66031901041667,105.1,111.8,13.293650793650794,19,0.07509881,106,0.41897233,0.267477203,0.2560426898118926,0.422492401,0.3980061135640958,0.3480121890185085,0.3387140803312132,"Kyle Karros",33252,691720
"Vladimir Guerrero Jr.","TOR",461,348,90.1247137661638,108.3,116,8.03448275862069,24,0.06896552,152,0.43678161,0.261728395,0.2847654366198881,0.358024691,0.404755542896412,0.30982962538275804,0.33846851817348544,"Vladimir Guerrero Jr.",19611,665489
"Andy Pages","LAD",500,353,89.07167360127478,104.9,109.7,16.124645892351275,27,0.07648725,151,0.42776204,0.270089285,0.26838392870766775,0.457589285,0.4375379426138742,0.3443619227839376,0.33758801783254005,"Andy Pages",24816,681624
"Jackson Chourio","MIL",376,253,92.0597609561753,107.3,113.3,11.701195219123505,34,0.13438735,119,0.47035573,0.274052478,0.25270673466567767,0.472303206,0.4688944439035007,0.3490339982955851,0.3371154005809497,"Jackson Chourio",28806,694192
"Kyle Tucker","LAD",453,309,88.9522752637987,102.5,107.7,17.032467532467532,20,0.06472492,120,0.38834951,0.243589743,0.26203077267377806,0.384615384,0.3970743423853165,0.3235720206570152,0.33690530469612306,"Kyle Tucker",18345,663656
"Michael Busch","CHC",526,330,88.24832589285714,102.1,109.2,14.729483282674773,31,0.09393939,130,0.39393939,0.243792325,0.2348848777753774,0.390519187,0.40712415983660766,0.33426745392027357,0.33563953218005954,"Michael Busch",26319,683737
"Trent Grisham","NYY",386,272,90.45962818287038,104.3,111.6,17.357933579335793,26,0.09558824,120,0.44117647,0.209580838,0.24354954166813297,0.377245508,0.4246546656519801,0.30386613684815245,0.3345777591069539,"Trent Grisham",18564,663757
"Tyler Soderstrom","ATH",435,296,90.70576006355932,105.8,113.2,11.454237288135593,28,0.09459459,137,0.46283784,0.245382585,0.2516243344261533,0.472295514,0.419941816380415,0.3505112981021819,0.33392600746421547,"Tyler Soderstrom",27467,691016
"Bryson Stott","PHI",434,316,89.67699805311501,103,111.9,15.054313099041533,21,0.0664557,127,0.40189873,0.260981912,0.271790163504645,0.418604651,0.41256476683937826,0.3302303295996454,0.3333138379585992,"Bryson Stott",26294,681082
